MGI:MGI:2443035	Brinp3
MGI:MGI:2443028	Taf2
MGI:MGI:2443026	Deup1
MGI:MGI:2444777	Ncaph
MGI:MGI:2444786	Klhl42
MGI:MGI:2146156	Espl1
MGI:MGI:3056295	Spag8
MGI:MGI:1925055	Esco1
MGI:MGI:1913656	Sac3d1
MGI:MGI:1913654	Rtf2
MGI:MGI:2146110	Washc5
MGI:MGI:1913621	Chmp4c
MGI:MGI:1341217	Uba3
MGI:MGI:1921941	Tdrd9
MGI:MGI:107804	Tuba1b
MGI:MGI:2441808	Cdc14b
MGI:MGI:1341087	Tnks
MGI:MGI:2681832	Cspp1
MGI:MGI:2384997	Ube2e2
MGI:MGI:1351500	Nup62
MGI:MGI:1913125	Pias1
MGI:MGI:2444879	Ripor2
MGI:MGI:106924	Melk
MGI:MGI:1913561	Cenpw
MGI:MGI:3583942	Chmp6
MGI:MGI:2384914	Appl2
MGI:MGI:1913558	Mplkip
MGI:MGI:1913546	Haus2
MGI:MGI:2146005	Mtbp
MGI:MGI:1309528	Ppp1r12a
MGI:MGI:1919200	Nanog
MGI:MGI:1309511	Cdc7
MGI:MGI:1913509	Camk2n1
MGI:MGI:2448480	Fancd2
MGI:MGI:108093	Bid
MGI:MGI:108092	Bin1
MGI:MGI:108085	Hpgd
MGI:MGI:108084	Cep250
MGI:MGI:2448469	Ifnz
MGI:MGI:1098658	Stag1
MGI:MGI:1289298	Knstrn
MGI:MGI:2176740	Helq
MGI:MGI:108042	Ccna1
MGI:MGI:1289252	Ppp2r2d
MGI:MGI:108028	Atr
MGI:MGI:108027	Ptprv
MGI:MGI:108016	Rad21
MGI:MGI:1923749	Clasp2
MGI:MGI:1923728	Haus8
MGI:MGI:1923714	Knl1
MGI:MGI:1338889	Uhrf1
MGI:MGI:1346082	Jtb
MGI:MGI:1888520	Brd4
MGI:MGI:1861305	Fntb
MGI:MGI:2384887	Chtf18
MGI:MGI:1346036	Pin1
MGI:MGI:2384878	Cep164
MGI:MGI:2384876	Cdc73
MGI:MGI:2384875	Cdk5rap2
MGI:MGI:1351625	Nbn
MGI:MGI:1915087	Tiprl
MGI:MGI:108405	Apbb2
MGI:MGI:1915061	Poldip2
MGI:MGI:2443297	Ccnj
MGI:MGI:2443290	Cntrob
MGI:MGI:1918177	Setd2
MGI:MGI:97584	Pim1
MGI:MGI:2159711	Usp33
MGI:MGI:3783360	Mir1186
MGI:MGI:2443258	Map3k20
MGI:MGI:3642276	Rnf212b
MGI:MGI:2443239	Snx33
MGI:MGI:2151045	Lsm10
MGI:MGI:2444576	Kif20b
MGI:MGI:5579667	Gm28961
MGI:MGI:1913884	Mcm8
MGI:MGI:1096381	Arntl
MGI:MGI:1913866	Snx9
MGI:MGI:1096367	Psme1
MGI:MGI:1096366	Psme3
MGI:MGI:1096365	Psme2
MGI:MGI:1913841	Mad2l1bp
MGI:MGI:1858197	Plrg1
MGI:MGI:1858195	Hnrnpu
MGI:MGI:1096342	Rhoa
MGI:MGI:1096341	E2f2
MGI:MGI:1096340	E2f3
MGI:MGI:1336199	Ppp1r13b
MGI:MGI:1858178	Usp2
MGI:MGI:108390	Kif2a
MGI:MGI:108389	Kif4
MGI:MGI:108384	Btg2
MGI:MGI:1336168	Cradd
MGI:MGI:2448712	Kctd11
MGI:MGI:1339939	Rpa2
MGI:MGI:103079	Pura
MGI:MGI:1203520	Dapk3
MGI:MGI:1203517	Birc5
MGI:MGI:1861099	Ubr2
MGI:MGI:107437	Capn3
MGI:MGI:1918771	Pds5a
MGI:MGI:1889007	Ttyh1
MGI:MGI:98958	Wnt5a
MGI:MGI:98957	Wnt4
MGI:MGI:107477	Stil
MGI:MGI:98931	Ezr
MGI:MGI:2446979	Kif18b
MGI:MGI:1923552	Pcnp
MGI:MGI:106544	Spout1
MGI:MGI:2384568	Kank2
MGI:MGI:2384561	Nae1
MGI:MGI:1891749	Wrap73
MGI:MGI:1891748	Maea
MGI:MGI:1891740	Dact1
MGI:MGI:106506	Miip
MGI:MGI:1917207	Cdc16
MGI:MGI:1917202	Tunar
